image,method,mode,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
001c2723,occlusion,black,0.0948,0.0948,0.0948,0.0948
001c2723,occlusion,gray,8.4572,8.4572,8.4572,8.4572
002210b7,occlusion,black,-4.6845,5.4654,9.6595,3.036
002210b7,occlusion,gray,11.3376,11.3915,12.2833,12.0478
014fafe5,occlusion,black,-5.9996,1.244,5.7073,-1.3543
014fafe5,occlusion,gray,6.9542,7.8072,8.3202,7.3627
023667bc,occlusion,black,-8.3738,9.2403,9.7229,-8.3892
023667bc,occlusion,gray,8.2599,11.4319,11.4908,8.0617
047eb1a3,occlusion,black,-8.2205,4.5841,6.9519,-7.0584
047eb1a3,occlusion,gray,5.4046,8.1162,8.7563,5.6356
06842ff3,occlusion,black,-0.3278,-0.3278,-0.3293,-0.3293
06842ff3,occlusion,gray,8.1721,8.1721,8.1889,8.1889
07333fd0,occlusion,black,-7.3357,4.0095,7.0044,-0.4693
07333fd0,occlusion,gray,6.1954,7.316,8.923,6.3654
0748f1b0,occlusion,black,-1.9606,-1.9606,-1.974,-1.974
0748f1b0,occlusion,gray,5.6746,5.6746,5.6697,5.6697
0ad54dec,occlusion,black,-7.6427,2.898,4.9326,-3.5638
0ad54dec,occlusion,gray,5.3545,7.1882,8.8776,5.7486
0bf6d055,occlusion,black,-6.6351,-2.3099,7.7284,0.2675
0bf6d055,occlusion,gray,9.5142,9.4683,12.4237,10.6844
0c217725,occlusion,black,-8.7736,3.3775,6.4302,-5.7268
0c217725,occlusion,gray,5.3371,7.2267,7.7257,5.7909
0dd86fcb,occlusion,black,-5.6496,-1.9919,7.5654,1.1488
0dd86fcb,occlusion,gray,8.4341,9.6231,11.4227,9.5185
14d6bb54,occlusion,black,-5.9598,6.1194,6.2565,-3.6335
14d6bb54,occlusion,gray,6.1401,7.0043,7.335,6.6847
183f3c78,occlusion,black,-8.605,4.7018,7.6292,-5.6103
183f3c78,occlusion,gray,7.4755,8.8698,9.0903,7.664
18bca469,occlusion,black,-7.3321,-6.4084,4.4051,-1.0787
18bca469,occlusion,gray,5.9136,5.4758,9.288,8.1896
1a42e12b,occlusion,black,-7.6387,1.7135,7.0767,-2.6335
1a42e12b,occlusion,gray,7.0497,8.9035,9.8149,7.9728
1c522730,occlusion,black,-7.9549,5.439,9.9631,-3.5075
1c522730,occlusion,gray,6.074,10.1715,11.4728,7.4383
1d641fa8,occlusion,black,-8.0224,0.4954,6.4931,-6.7171
1d641fa8,occlusion,gray,5.9358,7.2711,9.004,6.2528
25e406d3,occlusion,black,-5.7481,-1.0663,3.7357,-2.1305
25e406d3,occlusion,gray,5.5024,7.6481,8.8411,5.9324
2f466312,occlusion,black,1.0977,1.0977,1.0872,1.0872
2f466312,occlusion,gray,10.1169,10.1169,10.0913,10.0913
3040b049,occlusion,black,-5.4433,3.4855,8.4707,3.2029
3040b049,occlusion,gray,9.0505,9.8973,11.1879,10.3031
38db7466,occlusion,black,-3.4852,2.8164,7.6606,4.7517
38db7466,occlusion,gray,7.9035,8.0062,10.3682,8.654
3a64ad19,occlusion,black,-5.8355,-1.0336,-0.2061,-4.9483
3a64ad19,occlusion,gray,3.086,3.635,3.5928,3.0426
41003c46,occlusion,black,-8.0306,-7.3515,1.154,-2.2418
41003c46,occlusion,gray,1.8039,2.3618,4.8237,3.829
4cb1d9fb,occlusion,black,-0.3703,5.1531,7.5737,2.785
4cb1d9fb,occlusion,gray,8.5158,9.5141,10.2702,9.4248
4ebe4ec3,occlusion,black,1.0648,1.0648,1.0585,1.0585
4ebe4ec3,occlusion,gray,10.5032,10.5032,10.4678,10.4678
5504eb69,occlusion,black,-1.373,2.5822,7.0181,4.5758
5504eb69,occlusion,gray,8.5605,9.0402,10.4221,9.5524
5582d290,occlusion,black,-5.4105,-5.4105,4.3534,4.3534
5582d290,occlusion,gray,6.8615,6.8615,8.4815,8.4815
56130b57,occlusion,black,-6.5,-2.6425,7.6812,-0.1293
56130b57,occlusion,gray,6.4676,7.7171,10.9538,8.0465
5690f96f,occlusion,black,-3.6652,6.2955,7.3695,-1.7605
5690f96f,occlusion,gray,6.799,8.5431,9.2173,6.5707
577d09f9,occlusion,black,-6.8171,-0.3781,3.0729,-4.2743
577d09f9,occlusion,gray,7.8151,7.8061,8.4237,8.4328
5e5334ce,occlusion,black,-1.8157,-1.8157,-1.8466,-1.8466
5e5334ce,occlusion,gray,4.5832,4.5832,4.6098,4.6098
5e89d09b,occlusion,black,-6.6839,4.3605,7.2012,-5.97
5e89d09b,occlusion,gray,7.029,9.3075,9.8388,7.4936
5ea2567e,occlusion,black,-9.0977,7.2146,8.2744,-9.1226
5ea2567e,occlusion,gray,5.5942,9.5884,9.5607,5.6805
5fcc7c2c,occlusion,black,-5.7481,7.1625,10.8753,-2.6077
5fcc7c2c,occlusion,gray,9.4584,13.0917,13.7888,10.0285
601dfdf2,occlusion,black,-8.9373,2.6156,2.8344,-8.9261
601dfdf2,occlusion,gray,2.2058,3.8086,3.9599,2.2438
60f602ac,occlusion,black,-7.0185,5.7822,5.7579,-7.026
60f602ac,occlusion,gray,6.9504,8.8489,8.8428,7.0723
647383a5,occlusion,black,-5.7696,2.892,5.4015,-2.5844
647383a5,occlusion,gray,5.1706,5.9357,6.7157,5.1711
66ea2468,occlusion,black,-1.8644,-1.8644,-1.8614,-1.8614
66ea2468,occlusion,gray,5.4183,5.4183,5.4172,5.4172
671140d7,occlusion,black,2.7059,2.7059,2.7106,2.7106
671140d7,occlusion,gray,11.4169,11.4169,11.413,11.413
6ca521c2,occlusion,black,-4.5354,9.5027,11.1352,-1.3084
6ca521c2,occlusion,gray,11.4007,12.545,13.262,12.0237
6d1e9865,occlusion,black,-4.8494,4.8245,6.4777,0.7342
6d1e9865,occlusion,gray,6.5788,6.7195,8.1891,6.4841
73f5615f,occlusion,black,-2.0572,-2.0572,-2.069,-2.069
73f5615f,occlusion,gray,4.755,4.755,4.7489,4.7489
74d745bf,occlusion,black,-4.5433,-4.5433,6.799,6.799
74d745bf,occlusion,gray,10.8252,10.8252,11.9428,11.9428
7908ec90,occlusion,black,-3.2007,3.4689,8.1096,5.8547
7908ec90,occlusion,gray,7.9097,8.2024,10.3913,9.245
7a09cfa0,occlusion,black,-5.9976,2.6299,4.672,-3.0448
7a09cfa0,occlusion,gray,5.9235,5.385,6.7068,5.8879
7c94b234,occlusion,black,2.2245,2.2245,2.2083,2.2083
7c94b234,occlusion,gray,10.5094,10.5094,10.4863,10.4863
7d26c82f,occlusion,black,-5.7374,0.4818,8.932,0.4299
7d26c82f,occlusion,gray,9.0097,10.0511,12.0438,9.9448
7f1e1680,occlusion,black,0.0029,0.0029,-0.0022,-0.0022
7f1e1680,occlusion,gray,7.6558,7.6558,7.6532,7.6532
89b64556,occlusion,black,-4.8501,-2.696,8.7689,4.129
89b64556,occlusion,gray,9.0807,9.6296,12.6785,11.0579
8b8f0909,occlusion,black,-2.4545,7.8889,9.2259,0.8405
8b8f0909,occlusion,gray,10.9122,12.936,13.0897,10.6749
8d11ee8a,occlusion,black,-0.1599,5.0231,6.6515,0.9714
8d11ee8a,occlusion,gray,9.4534,12.1956,12.6283,9.1022
91d4170f,occlusion,black,-7.0488,-0.8478,9.3007,3.2181
91d4170f,occlusion,gray,11.4075,12.1865,13.5548,12.8016
92415a1a,occlusion,black,-6.5641,9.2636,10.457,-5.1434
92415a1a,occlusion,gray,11.6153,12.1795,12.6005,11.6647
927d556f,occlusion,black,-5.4246,-5.4246,4.2701,4.2701
927d556f,occlusion,gray,7.182,7.182,8.4306,8.4306
92c51da3,occlusion,black,-9.0633,4.4032,6.753,-6.7625
92c51da3,occlusion,gray,4.5214,7.2913,7.8095,4.9922
9978f229,occlusion,black,-3.8833,5.0051,6.6303,0.7733
9978f229,occlusion,gray,6.726,6.6757,7.6438,6.4504
9a1a949a,occlusion,black,-2.2217,3.1654,6.9101,1.7005
9a1a949a,occlusion,gray,9.2023,10.067,10.8253,10.0011
9b1cb600,occlusion,black,-8.2181,3.4127,7.3227,-4.3912
9b1cb600,occlusion,gray,6.8304,8.4992,9.0127,7.4046
9c35db4f,occlusion,black,-6.9558,-2.8622,2.6051,-2.0821
9c35db4f,occlusion,gray,3.5152,4.2299,5.9306,4.8569
9f4bb4c7,occlusion,black,-5.7265,-5.7265,3.3015,3.3015
9f4bb4c7,occlusion,gray,5.6069,5.6069,7.1001,7.1001
a0eb9910,occlusion,black,-4.041,5.7993,8.5467,3.0671
a0eb9910,occlusion,gray,8.0456,9.8127,10.8301,8.253
a27a1723,occlusion,black,0.7225,0.7225,0.7224,0.7224
a27a1723,occlusion,gray,9.1569,9.1569,9.1402,9.1402
a53e4ccc,occlusion,black,-4.792,-4.792,6.1858,6.1858
a53e4ccc,occlusion,gray,7.8751,7.8751,10.429,10.429
a57a9e5c,occlusion,black,-4.719,1.5202,2.3304,-1.6328
a57a9e5c,occlusion,gray,5.1308,6.1964,6.8405,4.5833
ae9889bf,occlusion,black,-7.3954,1.6327,5.541,-5.327
ae9889bf,occlusion,gray,4.6493,5.8778,7.2889,5.3945
b0f5e1c4,occlusion,black,-4.8167,4.9333,5.3825,-4.7054
b0f5e1c4,occlusion,gray,5.7804,6.714,6.7445,5.6965
b998a060,occlusion,black,-9.074,2.5272,6.362,-6.8624
b998a060,occlusion,gray,4.6053,6.5393,7.6302,5.2424
b99bec61,occlusion,black,-5.4277,1.4893,7.4002,-0.0879
