image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,gray,10.8235,3.4311,3.4311,1,9.1824,9.1824,9.1456,9.1456
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,mean,10.8235,20.4665,20.4665,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,blur,10.8235,9.2617,9.2617,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,black,10.8235,21.1154,21.1154,1,0.2982,0.2982,0.2706,0.2706
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,gray,10.8235,3.4315,3.4315,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,mean,10.8235,20.5325,20.5325,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,blur,10.8235,9.4093,9.4093,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,black,10.8235,21.1814,21.1814,1,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,gray,7.1633,1.958,0.3088,10,5.0823,6.698,6.8074,4.7981
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,mean,7.1633,13.5001,1.5798,10,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,blur,7.1633,5.1663,0.7015,10,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,black,7.1633,15.0092,2.1655,10,-8.4951,4.606,5.5247,-8.2328
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,gray,7.1633,1.9087,0.2496,10,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,mean,7.1633,13.8231,1.6038,10,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,blur,7.1633,4.837,0.6105,10,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,black,7.1633,13.7805,1.7331,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,gray,9.4912,3.7822,0.9181,7,5.4046,8.1162,8.7563,5.6356
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,mean,9.4912,15.738,3.378,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,blur,9.4912,6.4593,1.6251,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,black,9.4912,15.5467,3.1541,7,-8.2205,4.5841,6.9519,-7.0584
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,gray,9.4912,3.7482,0.8211,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,mean,9.4912,15.6756,3.2917,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,blur,9.4912,6.6934,1.7076,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,black,9.4912,16.4853,3.2618,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,gray,9.1089,4.3403,1.3907,7,6.0394,6.0462,7.9778,5.2655
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,mean,9.1089,9.9331,2.5333,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,blur,9.1089,6.4861,1.5644,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,black,9.1089,9.0664,2.2677,7,-5.646,4.2358,6.553,-0.9808
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,gray,9.1089,3.028,0.9282,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,mean,9.1089,9.1793,2.1014,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,blur,9.1089,6.2017,1.4082,7,,,,
