image,mode,spearman_occ_vs_lime
38eb6939,gray,0.964
38eb6939,mean,0.964
38eb6939,blur,1.0
38eb6939,black,1.0
example1,gray,nan
example1,mean,nan
example1,blur,nan
example1,black,nan
0f019494,gray,0.867
0f019494,mean,0.976
0f019494,blur,0.952
0f019494,black,0.903
e7361205,gray,0.881
e7361205,mean,1.0
e7361205,blur,0.833
e7361205,black,0.929
047eb1a3,gray,0.964
047eb1a3,mean,1.0
047eb1a3,blur,1.0
047eb1a3,black,0.964
example2,gray,0.83
example2,mean,0.818
example2,blur,0.806
example2,black,0.903
d534420e,gray,1.0
d534420e,mean,1.0
d534420e,blur,1.0
d534420e,black,1.0
