image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,gray,9.4912,2.48,0.2905,66,5.5548,5.9511,6.961,6.4703
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,mean,9.4912,2.0638,0.2502,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,blur,9.4912,1.9653,0.2043,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,black,9.4912,5.747,1.1485,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,gray,9.4912,0.4802,0.1024,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,mean,9.4912,1.2024,0.1241,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,blur,9.4912,1.4596,0.1769,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,lime,black,9.4912,2.1501,0.2973,66,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,gray,9.1089,2.3447,0.2482,70,6.3069,5.9804,7.5708,6.8767
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,mean,9.1089,1.9701,0.239,70,,,,
