image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,gray,10.8235,0.6145,0.1263,82,8.3696,8.9741,9.6197,8.8503
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,mean,10.8235,3.4813,0.1851,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,blur,10.8235,1.6864,0.1418,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,black,10.8235,4.2678,0.5201,82,-3.006,0.6713,5.2058,0.7635
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,gray,10.8235,0.7483,0.0764,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,mean,10.8235,2.5486,0.1078,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,blur,10.8235,2.3849,0.1469,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example1.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,black,10.8235,3.2838,0.2842,82,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,gray,7.1633,0.4945,0.1014,70,4.9462,6.0843,7.0628,5.6933
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,mean,7.1633,1.3364,0.168,70,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,blur,7.1633,1.1932,0.1631,70,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",occlusion,black,7.1633,2.9953,0.6033,70,-3.2176,0.211,3.0077,-0.4138
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,gray,7.1633,0.5682,0.0724,70,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,mean,7.1633,2.0012,0.1367,70,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,blur,7.1633,1.067,0.125,70,,,,
/gpfs/home2/scur0283/HPSv3_xai/assets/example2.png,"cute chibi anime cartoon fox, smiling wagging tail with a small cartoon heart above sticker",lime,black,7.1633,1.928,0.2228,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/047eb1a3-622f-47b0-8a5e-2bbc003bc3e5.jpg,Couple enjoys wine on balcony under a full moon.,occlusion,gray,9.4912,2.48,0.2905,66,5.5548,5.9511,6.961,6.4703
