image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,occlusion,gray,7.8326,0.07,0.1409,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,occlusion,mean,7.8326,6.4004,1.8339,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,occlusion,blur,7.8326,5.903,1.4949,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,occlusion,black,7.8326,6.07,1.4835,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/06842ff3-606f-4081-9b15-13279dff957a.jpg,"Certainly! Here's a description of the image:

The image features a zebra standing in a field of tall grass interspersed with clusters of bright yellow wildflowers. The zebra is positioned slightly off-center, facing left, with its distinct black and white stripes clearly visible. Its head is angled towards the viewer, providing a clear view of its face and unique stripe pattern.

The backdrop is a grassy plain with rolling hills, typical of a savanna landscape. There's a subtle play of light and shadow across the hills, adding depth to the scene. A light blue sky completes the background, creating a sense of vastness and openness. In the distance, a herd of animals can be faintly seen grazing, which hints to a larger ecosystem beyond the immediate foreground. The overall impression is one of natural beauty and tranquility.",occlusion,gray,9.5891,2.8065,2.8065,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/06842ff3-606f-4081-9b15-13279dff957a.jpg,"Certainly! Here's a description of the image:

The image features a zebra standing in a field of tall grass interspersed with clusters of bright yellow wildflowers. The zebra is positioned slightly off-center, facing left, with its distinct black and white stripes clearly visible. Its head is angled towards the viewer, providing a clear view of its face and unique stripe pattern.

The backdrop is a grassy plain with rolling hills, typical of a savanna landscape. There's a subtle play of light and shadow across the hills, adding depth to the scene. A light blue sky completes the background, creating a sense of vastness and openness. In the distance, a herd of animals can be faintly seen grazing, which hints to a larger ecosystem beyond the immediate foreground. The overall impression is one of natural beauty and tranquility.",occlusion,mean,9.5891,19.6336,19.6336,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/06842ff3-606f-4081-9b15-13279dff957a.jpg,"Certainly! Here's a description of the image:

The image features a zebra standing in a field of tall grass interspersed with clusters of bright yellow wildflowers. The zebra is positioned slightly off-center, facing left, with its distinct black and white stripes clearly visible. Its head is angled towards the viewer, providing a clear view of its face and unique stripe pattern.

The backdrop is a grassy plain with rolling hills, typical of a savanna landscape. There's a subtle play of light and shadow across the hills, adding depth to the scene. A light blue sky completes the background, creating a sense of vastness and openness. In the distance, a herd of animals can be faintly seen grazing, which hints to a larger ecosystem beyond the immediate foreground. The overall impression is one of natural beauty and tranquility.",occlusion,blur,9.5891,17.1729,17.1729,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/06842ff3-606f-4081-9b15-13279dff957a.jpg,"Certainly! Here's a description of the image:

The image features a zebra standing in a field of tall grass interspersed with clusters of bright yellow wildflowers. The zebra is positioned slightly off-center, facing left, with its distinct black and white stripes clearly visible. Its head is angled towards the viewer, providing a clear view of its face and unique stripe pattern.

The backdrop is a grassy plain with rolling hills, typical of a savanna landscape. There's a subtle play of light and shadow across the hills, adding depth to the scene. A light blue sky completes the background, creating a sense of vastness and openness. In the distance, a herd of animals can be faintly seen grazing, which hints to a larger ecosystem beyond the immediate foreground. The overall impression is one of natural beauty and tranquility.",occlusion,black,9.5891,19.8667,19.8667,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/d8403139-182d-477b-9ff9-6bbed132cbb1.jpg,"The image captures a moment of relaxation and connection with nature. A person's hand, adorned with a delicate silver ring on the ring finger and sporting dark blue nail polish, holds a metal cup. The hand and cup are positioned in front of a car window, suggesting a roadside stop. The vehicle's door is visible, and the sleeve of a brown coat or jacket peeks into the frame, adding a touch of autumn aesthetic.

Beyond the car, the background opens up to a vast, open field bathed in warm sunlight. The scene evokes a sense of freedom and tranquility. The depth of field is shallow, drawing focus to the hand and the cup while blurring the background to enhance the feeling of being in nature. The scene is very calming.",occlusion,gray,9.9216,2.9754,0.6756,6,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/d8403139-182d-477b-9ff9-6bbed132cbb1.jpg,"The image captures a moment of relaxation and connection with nature. A person's hand, adorned with a delicate silver ring on the ring finger and sporting dark blue nail polish, holds a metal cup. The hand and cup are positioned in front of a car window, suggesting a roadside stop. The vehicle's door is visible, and the sleeve of a brown coat or jacket peeks into the frame, adding a touch of autumn aesthetic.

Beyond the car, the background opens up to a vast, open field bathed in warm sunlight. The scene evokes a sense of freedom and tranquility. The depth of field is shallow, drawing focus to the hand and the cup while blurring the background to enhance the feeling of being in nature. The scene is very calming.",occlusion,mean,9.9216,19.8127,3.5766,6,,,,
